File: /tmp/hramwd/GBS_Workshop/05_TBT/01_IndividualTBT/../../01_RawSequence/C08L7ACXX_6_fastq.gz
Total reads: 2122354
Accepted reads (with barcode and cut site): 2122354(1.0 of total)
Accepted reads found in TOPM: 1976669(0.9313569 of total)
name	read count	fraction of total	mapped read count	fraction mapped of total
NC262:C08L7ACXX:6:250047948	20411	0.009617152	19005	0.93111557
Va35:C08L7ACXX:6:250047974	23912	0.011266735	22281	0.93179154
C103:C08L7ACXX:6:250048011	22068	0.010397889	20505	0.92917347
A554:C08L7ACXX:6:250047963	11021	0.005192819	10052	0.91207695
NC250:C08L7ACXX:6:250047923	23093	0.010880843	21539	0.9327069
CML323:C08L7ACXX:6:250047968	27463	0.012939877	25118	0.9146124
A619:C08L7ACXX:6:250047940	11086	0.005223445	10459	0.94344217
Os420:C08L7ACXX:6:250047960	24213	0.011408559	22680	0.93668693
CML91:C08L7ACXX:6:250048013	26039	0.012268924	24169	0.9281846
CI28A:C08L7ACXX:6:250047947	21091	0.009937551	19572	0.92797875
A239:C08L7ACXX:6:250047930	10148	0.004781483	9484	0.9345684
NC368:C08L7ACXX:6:250047959	24516	0.011551324	23099	0.942201
A659:C08L7ACXX:6:250048004	15748	0.007420063	14676	0.93192786
A632:C08L7ACXX:6:250047950	25206	0.011876435	23339	0.9259303
NC320:C08L7ACXX:6:250047967	17159	0.00808489	15963	0.930299
EP1:C08L7ACXX:6:250048006	30777	0.014501351	28150	0.91464406
H91:C08L7ACXX:6:250047979	15004	0.0070695085	14127	0.94154894
NC290A:C08L7ACXX:6:250047937	27512	0.012962964	25886	0.94089854
B76:C08L7ACXX:6:250047994	27958	0.013173109	25800	0.9228128
B103:C08L7ACXX:6:250047956	11129	0.0052437056	10452	0.9391679
R168:C08L7ACXX:6:250047929	25150	0.01185005	23469	0.933161
Va59:C08L7ACXX:6:250047955	13664	0.0064381342	12845	0.94006145
NC338:C08L7ACXX:6:250047953	31869	0.015015874	29734	0.933007
DE_2:C08L7ACXX:6:250047921	13009	0.006129515	12170	0.93550617
F6:C08L7ACXX:6:250047964	16940	0.007981704	15541	0.9174144
CI3A:C08L7ACXX:6:250047952	29088	0.013705537	27306	0.93873763
B77:C08L7ACXX:6:250047998	21295	0.01003367	19939	0.9363231
Ki14:C08L7ACXX:6:250047943	7512	0.003539466	6820	0.9078807
IDS28:C08L7ACXX:6:250048002	32112	0.015130369	30182	0.93989784
W182B:C08L7ACXX:6:250048007	37723	0.017774131	35556	0.94255495
CM174:C08L7ACXX:6:250047927	23943	0.011281341	22584	0.94324017
B109:C08L7ACXX:6:250047924	11531	0.005433118	10734	0.930882
W22:C08L7ACXX:6:250047969	31230	0.014714793	28782	0.9216138
CI.7:C08L7ACXX:6:250047981	27783	0.013090653	25640	0.9228665
B10:C08L7ACXX:6:250047991	23225	0.010943037	21519	0.92654467
SC213R:C08L7ACXX:6:250047978	17297	0.008149913	15890	0.9186564
L317:C08L7ACXX:6:250047944	23971	0.011294534	22142	0.9236995
I29:C08L7ACXX:6:250047999	26847	0.012649633	24815	0.9243118
CO125:C08L7ACXX:6:250047975	27491	0.01295307	25818	0.9391437
B84:C08L7ACXX:6:250047993	25215	0.011880676	23893	0.9475709
R109B:C08L7ACXX:6:250047926	16576	0.0078101954	15527	0.9367157
CM105:C08L7ACXX:6:250047997	34219	0.016123135	32224	0.941699
CML333:C08L7ACXX:6:250047988	23842	0.011233753	22244	0.9329754
A680:C08L7ACXX:6:250047931	24448	0.011519285	23138	0.9464169
CML220:C08L7ACXX:6:250047985	33165	0.015626516	30907	0.9319162
CML228:C08L7ACXX:6:250047934	25020	0.011788797	23202	0.9273381
EMPTY:C08L7ACXX:6:250047922	0	0.0	0	NaN
Oh603:C08L7ACXX:6:250047972	15983	0.007530789	14817	0.9270475
M14:C08L7ACXX:6:250047977	23639	0.011138104	22218	0.93988746
NC364:C08L7ACXX:6:250047976	25911	0.012208614	23868	0.9211532
Sg18:C08L7ACXX:6:250047958	15600	0.007350329	14551	0.9327564
CML45:C08L7ACXX:6:250047951	18461	0.00869836	16838	0.91208494
B73Htrhm:C08L7ACXX:6:250047925	15760	0.007425717	14953	0.9487944
W117Ht:C08L7ACXX:6:250047949	20759	0.00978112	19365	0.9328484
CO106:C08L7ACXX:6:250047961	25579	0.012052184	24050	0.9402244
NC318:C08L7ACXX:6:250047989	30285	0.014269533	28266	0.93333334
A682:C08L7ACXX:6:250047957	28003	0.013194311	26119	0.9327215
CML258:C08L7ACXX:6:250047962	30438	0.014341623	28206	0.9266706
A654:C08L7ACXX:6:250048009	33533	0.01579991	31433	0.9373751
CML52:C08L7ACXX:6:250047987	30643	0.014438214	28407	0.9270306
tripsacum:C08L7ACXX:6:250048015	7746	0.003649721	6583	0.849858
File: /tmp/hramwd/GBS_Workshop/05_TBT/01_IndividualTBT/../../01_RawSequence/C05F2ACXX_5_fastq.gz
Total reads: 2248346
Accepted reads (with barcode and cut site): 2248346(1.0 of total)
Accepted reads found in TOPM: 2044191(0.9091977 of total)
name	read count	fraction of total	mapped read count	fraction mapped of total
M0269:C05F2ACXX:5:250021049	0	0.0	0	NaN
M0024:C05F2ACXX:5:250020998	12257	0.0054515633	11143	0.90911317
M0264:C05F2ACXX:5:250021047	29241	0.01300556	26628	0.91063917
M0326:C05F2ACXX:5:250021071	13218	0.005878988	12032	0.91027385
M0267:C05F2ACXX:5:250021037	17244	0.007669638	15689	0.9098237
M0066:C05F2ACXX:5:250021021	26420	0.01175086	23942	0.90620744
M0383:C05F2ACXX:5:250021069	28140	0.012515867	25665	0.9120469
M0281:C05F2ACXX:5:250021051	9327	0.0041483827	8509	0.9122976
M0272:C05F2ACXX:5:250021038	39039	0.017363431	35697	0.9143933
M0384:C05F2ACXX:5:250021081	26396	0.011740186	23969	0.90805423
M0315:C05F2ACXX:5:250021056	35783	0.015915254	32688	0.9135064
M0057:C05F2ACXX:5:250021018	8610	0.0038294818	7852	0.9119628
M0032:C05F2ACXX:5:250020993	7253	0.003225927	6603	0.9103819
M0265:C05F2ACXX:5:250021036	15154	0.0067400658	13767	0.908473
M0297:C05F2ACXX:5:250021042	23045	0.010249757	20805	0.9027989
M0357:C05F2ACXX:5:250021076	23568	0.010482373	21436	0.9095383
M0062:C05F2ACXX:5:250021020	16818	0.0074801655	15320	0.9109288
M0311:C05F2ACXX:5:250021044	50889	0.022633972	46350	0.9108059
M0322:C05F2ACXX:5:250021058	27995	0.012451375	25392	0.90701914
M0341:C05F2ACXX:5:250021061	13052	0.005805156	11926	0.91372967
M0063:C05F2ACXX:5:250021011	9227	0.0041039055	8437	0.9143817
M0012:C05F2ACXX:5:250020997	38897	0.017300272	35582	0.9147749
M0028:C05F2ACXX:5:250020991	6237	0.0027740393	5722	0.91742826
M0022:C05F2ACXX:5:250021030	18943	0.008425305	17194	0.9076704
M0043:C05F2ACXX:5:250021004	18878	0.008396395	17154	0.90867674
M0061:C05F2ACXX:5:250021010	15485	0.006887285	14071	0.9086858
M0325:C05F2ACXX:5:250021059	6468	0.0028767814	5896	0.91156465
M0001:C05F2ACXX:5:250020987	5851	0.0026023574	5361	0.9162536
M0023:C05F2ACXX:5:250020990	16644	0.0074027753	15151	0.910298
M0365:C05F2ACXX:5:250021066	11413	0.005076176	10322	0.90440726
M0016:C05F2ACXX:5:250020989	3672	0.0016332006	3355	0.913671
M0369:C05F2ACXX:5:250021067	26706	0.011878065	24138	0.90384185
M0288:C05F2ACXX:5:250021041	32445	0.014430608	29517	0.909755
M0031:C05F2ACXX:5:250021001	41877	0.018625692	38144	0.910858
M0368:C05F2ACXX:5:250021078	24672	0.0109734	22468	0.91066796
M0382:C05F2ACXX:5:250021080	8722	0.0038792961	7941	0.9104563
M0044:C05F2ACXX:5:250021016	6639	0.0029528374	6010	0.9052568
M0276:C05F2ACXX:5:250021039	38552	0.017146828	34760	0.90163934
M0079:C05F2ACXX:5:250021046	16708	0.0074312408	15289	0.91507065
M0015:C05F2ACXX:5:250021028	19375	0.008617446	17583	0.9075097
M0317:C05F2ACXX:5:250021045	12203	0.0054275454	11116	0.91092354
M0035:C05F2ACXX:5:250021014	20676	0.009196093	18901	0.91415167
M0287:C05F2ACXX:5:250021052	9040	0.0040207333	8251	0.9127212
M0298:C05F2ACXX:5:250021054	35505	0.015791608	32265	0.9087452
M0345:C05F2ACXX:5:250021062	23877	0.010619807	21642	0.90639526
M0067:C05F2ACXX:5:250021012	30768	0.013684726	28080	0.9126365
M0354:C05F2ACXX:5:250021075	31049	0.013809707	28441	0.91600376
M0039:C05F2ACXX:5:250021003	23286	0.010356947	21227	0.91157776
M0076:C05F2ACXX:5:250021023	23253	0.010342269	21118	0.9081839
M0262:C05F2ACXX:5:250021035	7541	0.003354021	6865	0.9103567
M0077:C05F2ACXX:5:250021034	17956	0.0079863155	16340	0.91000223
Mo17:C05F2ACXX:5:250020994	1379	6.1333977E-4	1251	0.9071791
M0060:C05F2ACXX:5:250021019	40240	0.0178976	36673	0.91135687
M0058:C05F2ACXX:5:250021009	15202	0.006761415	13878	0.91290617
M0030:C05F2ACXX:5:250020992	13260	0.0058976687	12094	0.91206634
M0378:C05F2ACXX:5:250021079	22952	0.010208393	20850	0.9084176
M0328:C05F2ACXX:5:250021060	5205	0.002315035	4773	0.91700286
M0052:C05F2ACXX:5:250021007	7342	0.0032655117	6698	0.9122855
M0321:C05F2ACXX:5:250021057	37969	0.016887525	34289	0.90307885
M0284:C05F2ACXX:5:250021040	1919	8.5351634E-4	1762	0.91818655
M0074:C05F2ACXX:5:250021022	21080	0.009375781	19136	0.9077799
M0364:C05F2ACXX:5:250021077	46826	0.020826865	42405	0.90558666
M0266:C05F2ACXX:5:250021048	23643	0.01051573	21323	0.9018737
M0054:C05F2ACXX:5:250021033	20473	0.009105805	18603	0.9086602
M0296:C05F2ACXX:5:250021053	20835	0.009266812	18958	0.9099112
M0014:C05F2ACXX:5:250021025	87897	0.03909407	79754	0.90735745
M0048:C05F2ACXX:5:250021006	3313	0.0014735276	3014	0.90974945
M0029:C05F2ACXX:5:250021000	38716	0.017219769	35321	0.9123102
M0344:C05F2ACXX:5:250021073	35831	0.015936604	32679	0.9120315
M0360:C05F2ACXX:5:250021065	9961	0.004430368	9020	0.9055316
M0040:C05F2ACXX:5:250021015	9193	0.0040887836	8370	0.9104754
M0379:C05F2ACXX:5:250021068	24528	0.010909353	22323	0.9101027
B73:C05F2ACXX:5:250020986	15639	0.00695578	14167	0.90587634
M0055:C05F2ACXX:5:250021008	12192	0.0054226527	11071	0.9080545
M0007:C05F2ACXX:5:250020988	77463	0.03445333	70150	0.90559363
M0346:C05F2ACXX:5:250021074	26391	0.011737962	24012	0.9098556
M0051:C05F2ACXX:5:250021017	11414	0.0050766207	10403	0.9114246
M0045:C05F2ACXX:5:250021005	26473	0.011774433	24086	0.90983266
M0337:C05F2ACXX:5:250021072	20775	0.009240126	18833	0.9065223
M0005:C05F2ACXX:5:250020995	12705	0.0056508207	11578	0.91129476
M0010:C05F2ACXX:5:250021024	11874	0.0052812155	10809	0.91030824
M0310:C05F2ACXX:5:250021055	14775	0.0065714973	13431	0.9090355
M0033:C05F2ACXX:5:250021002	20449	0.0090951305	18651	0.91207397
M0021:C05F2ACXX:5:250021026	91246	0.04058361	82786	0.9072836
M0309:C05F2ACXX:5:250021043	55805	0.024820467	50787	0.9100797
M0008:C05F2ACXX:5:250020996	8032	0.003572404	7315	0.9107321
M0025:C05F2ACXX:5:250021027	22504	0.010009136	20548	0.9130821
M0355:C05F2ACXX:5:250021064	35039	0.015584345	31861	0.90930104
M0046:C05F2ACXX:5:250021032	52287	0.023255762	47403	0.9065925
M0034:C05F2ACXX:5:250021031	25974	0.011552492	23515	0.9053284
M0352:C05F2ACXX:5:250021063	6603	0.0029368256	5973	0.9045888
M0017:C05F2ACXX:5:250021029	34888	0.0155171845	31677	0.9079626
M0323:C05F2ACXX:5:250021070	59292	0.026371386	53901	0.9090771
M0027:C05F2ACXX:5:250020999	36823	0.016377818	33531	0.91059935
M0275:C05F2ACXX:5:250021050	0	0.0	0	NaN
M0075:C05F2ACXX:5:250021013	55925	0.02487384	50775	0.9079124
File: /workspace/2/CommonWorkspace/hramwd/GBS_Workshop/05_TBT/01_IndividualTBT/../../01_RawSequence/C08L7ACXX_6_fastq.gz
Total reads: 2122354
Accepted reads (with barcode and cut site): 2122354(1.0 of total)
Accepted reads found in TOPM: 1976669(0.9313569 of total)
name	read count	fraction of total	mapped read count	fraction mapped of total
Va99:C08L7ACXX:6:250048001	27975	0.013181118	25927	0.9267918
CML238:C08L7ACXX:6:250047992	26313	0.012398026	24516	0.9317068
W153R:C08L7ACXX:6:250048003	34579	0.016292758	32480	0.9392984
F7:C08L7ACXX:6:250048005	36337	0.017121084	33952	0.93436444
H95:C08L7ACXX:6:250048012	13545	0.0063820644	12656	0.93436694
CML92:C08L7ACXX:6:250047942	14082	0.006635085	12972	0.92117596
CML311:C08L7ACXX:6:250048014	21161	0.009970533	18984	0.8971221
CH701-30:C08L7ACXX:6:250047933	11715	0.0055198143	10993	0.93836963
Va22:C08L7ACXX:6:250048010	25088	0.011820837	23705	0.94487405
Tzi25:C08L7ACXX:6:250047965	15218	0.00717034	14053	0.92344594
NC298:C08L7ACXX:6:250047971	15769	0.0074299574	14534	0.92168176
Ki11:C08L7ACXX:6:250047990	35899	0.016914709	33439	0.9314744
A272:C08L7ACXX:6:250047954	21740	0.010243343	19739	0.9079577
NC356:C08L7ACXX:6:250047939	20476	0.009647778	18966	0.9262551
33-16:C08L7ACXX:6:250047984	31247	0.014722803	28873	0.9240247
CI66:C08L7ACXX:6:250047983	22524	0.010612744	21175	0.9401083
Oh43E:C08L7ACXX:6:250047973	20487	0.009652961	19216	0.9379607
K55:C08L7ACXX:6:250047986	26052	0.012275049	24316	0.93336403
CML277:C08L7ACXX:6:250047966	17727	0.008352518	16120	0.9093473
I137TN:C08L7ACXX:6:250048000	33892	0.01596906	31893	0.9410185
CML287:C08L7ACXX:6:250047941	10806	0.0050915163	9984	0.9239311
CML157Q:C08L7ACXX:6:250048008	25906	0.012206257	24103	0.9304022
CML332:C08L7ACXX:6:250047996	11896	0.005605097	10942	0.919805
CML281:C08L7ACXX:6:250047928	24786	0.011678542	22993	0.92766076
NC300:C08L7ACXX:6:250047982	19141	0.009018759	17688	0.92408967
CML14:C08L7ACXX:6:250047945	34271	0.016147636	31618	0.92258763
Pa875:C08L7ACXX:6:250047995	21842	0.010291403	20554	0.94103104
EMPTY:C08L7ACXX:6:250048016	72	3.3924596E-5	65	0.9027778
WD:C08L7ACXX:6:250047935	10614	0.005001051	9947	0.93715847
Oh40B:C08L7ACXX:6:250047980	19546	0.009209585	18319	0.937225
NC328:C08L7ACXX:6:250047932	7498	0.0035328697	7054	0.9407842
NC230:C08L7ACXX:6:250047946	29108	0.01371496	27356	0.93981034
DE_3:C08L7ACXX:6:250047936	21185	0.009981841	19933	0.9409016
B104:C08L7ACXX:6:250047938	18605	0.00876621	17538	0.94264984
B97:C08L7ACXX:6:250047970	33193	0.01563971	31415	0.9464345
NC262:C08L7ACXX:6:250047948	20411	0.009617152	19005	0.93111557
Va35:C08L7ACXX:6:250047974	23912	0.011266735	22281	0.93179154
C103:C08L7ACXX:6:250048011	22068	0.010397889	20505	0.92917347
A554:C08L7ACXX:6:250047963	11021	0.005192819	10052	0.91207695
NC250:C08L7ACXX:6:250047923	23093	0.010880843	21539	0.9327069
CML323:C08L7ACXX:6:250047968	27463	0.012939877	25118	0.9146124
A619:C08L7ACXX:6:250047940	11086	0.005223445	10459	0.94344217
Os420:C08L7ACXX:6:250047960	24213	0.011408559	22680	0.93668693
CML91:C08L7ACXX:6:250048013	26039	0.012268924	24169	0.9281846
CI28A:C08L7ACXX:6:250047947	21091	0.009937551	19572	0.92797875
A239:C08L7ACXX:6:250047930	10148	0.004781483	9484	0.9345684
NC368:C08L7ACXX:6:250047959	24516	0.011551324	23099	0.942201
A659:C08L7ACXX:6:250048004	15748	0.007420063	14676	0.93192786
A632:C08L7ACXX:6:250047950	25206	0.011876435	23339	0.9259303
NC320:C08L7ACXX:6:250047967	17159	0.00808489	15963	0.930299
EP1:C08L7ACXX:6:250048006	30777	0.014501351	28150	0.91464406
H91:C08L7ACXX:6:250047979	15004	0.0070695085	14127	0.94154894
NC290A:C08L7ACXX:6:250047937	27512	0.012962964	25886	0.94089854
B76:C08L7ACXX:6:250047994	27958	0.013173109	25800	0.9228128
B103:C08L7ACXX:6:250047956	11129	0.0052437056	10452	0.9391679
R168:C08L7ACXX:6:250047929	25150	0.01185005	23469	0.933161
Va59:C08L7ACXX:6:250047955	13664	0.0064381342	12845	0.94006145
NC338:C08L7ACXX:6:250047953	31869	0.015015874	29734	0.933007
DE_2:C08L7ACXX:6:250047921	13009	0.006129515	12170	0.93550617
F6:C08L7ACXX:6:250047964	16940	0.007981704	15541	0.9174144
CI3A:C08L7ACXX:6:250047952	29088	0.013705537	27306	0.93873763
B77:C08L7ACXX:6:250047998	21295	0.01003367	19939	0.9363231
Ki14:C08L7ACXX:6:250047943	7512	0.003539466	6820	0.9078807
IDS28:C08L7ACXX:6:250048002	32112	0.015130369	30182	0.93989784
W182B:C08L7ACXX:6:250048007	37723	0.017774131	35556	0.94255495
CM174:C08L7ACXX:6:250047927	23943	0.011281341	22584	0.94324017
B109:C08L7ACXX:6:250047924	11531	0.005433118	10734	0.930882
W22:C08L7ACXX:6:250047969	31230	0.014714793	28782	0.9216138
CI.7:C08L7ACXX:6:250047981	27783	0.013090653	25640	0.9228665
B10:C08L7ACXX:6:250047991	23225	0.010943037	21519	0.92654467
SC213R:C08L7ACXX:6:250047978	17297	0.008149913	15890	0.9186564
L317:C08L7ACXX:6:250047944	23971	0.011294534	22142	0.9236995
I29:C08L7ACXX:6:250047999	26847	0.012649633	24815	0.9243118
CO125:C08L7ACXX:6:250047975	27491	0.01295307	25818	0.9391437
B84:C08L7ACXX:6:250047993	25215	0.011880676	23893	0.9475709
R109B:C08L7ACXX:6:250047926	16576	0.0078101954	15527	0.9367157
CM105:C08L7ACXX:6:250047997	34219	0.016123135	32224	0.941699
CML333:C08L7ACXX:6:250047988	23842	0.011233753	22244	0.9329754
A680:C08L7ACXX:6:250047931	24448	0.011519285	23138	0.9464169
CML220:C08L7ACXX:6:250047985	33165	0.015626516	30907	0.9319162
CML228:C08L7ACXX:6:250047934	25020	0.011788797	23202	0.9273381
EMPTY:C08L7ACXX:6:250047922	0	0.0	0	NaN
Oh603:C08L7ACXX:6:250047972	15983	0.007530789	14817	0.9270475
M14:C08L7ACXX:6:250047977	23639	0.011138104	22218	0.93988746
NC364:C08L7ACXX:6:250047976	25911	0.012208614	23868	0.9211532
Sg18:C08L7ACXX:6:250047958	15600	0.007350329	14551	0.9327564
CML45:C08L7ACXX:6:250047951	18461	0.00869836	16838	0.91208494
B73Htrhm:C08L7ACXX:6:250047925	15760	0.007425717	14953	0.9487944
W117Ht:C08L7ACXX:6:250047949	20759	0.00978112	19365	0.9328484
CO106:C08L7ACXX:6:250047961	25579	0.012052184	24050	0.9402244
NC318:C08L7ACXX:6:250047989	30285	0.014269533	28266	0.93333334
A682:C08L7ACXX:6:250047957	28003	0.013194311	26119	0.9327215
CML258:C08L7ACXX:6:250047962	30438	0.014341623	28206	0.9266706
A654:C08L7ACXX:6:250048009	33533	0.01579991	31433	0.9373751
CML52:C08L7ACXX:6:250047987	30643	0.014438214	28407	0.9270306
tripsacum:C08L7ACXX:6:250048015	7746	0.003649721	6583	0.849858
File: /workspace/2/CommonWorkspace/hramwd/GBS_Workshop/05_TBT/01_IndividualTBT/../../01_RawSequence/C05F2ACXX_5_fastq.gz
Total reads: 2248346
Accepted reads (with barcode and cut site): 2248346(1.0 of total)
Accepted reads found in TOPM: 2044191(0.9091977 of total)
name	read count	fraction of total	mapped read count	fraction mapped of total
M0269:C05F2ACXX:5:250021049	0	0.0	0	NaN
M0024:C05F2ACXX:5:250020998	12257	0.0054515633	11143	0.90911317
M0264:C05F2ACXX:5:250021047	29241	0.01300556	26628	0.91063917
M0326:C05F2ACXX:5:250021071	13218	0.005878988	12032	0.91027385
M0267:C05F2ACXX:5:250021037	17244	0.007669638	15689	0.9098237
M0066:C05F2ACXX:5:250021021	26420	0.01175086	23942	0.90620744
M0383:C05F2ACXX:5:250021069	28140	0.012515867	25665	0.9120469
M0281:C05F2ACXX:5:250021051	9327	0.0041483827	8509	0.9122976
M0272:C05F2ACXX:5:250021038	39039	0.017363431	35697	0.9143933
M0384:C05F2ACXX:5:250021081	26396	0.011740186	23969	0.90805423
M0315:C05F2ACXX:5:250021056	35783	0.015915254	32688	0.9135064
M0057:C05F2ACXX:5:250021018	8610	0.0038294818	7852	0.9119628
M0032:C05F2ACXX:5:250020993	7253	0.003225927	6603	0.9103819
M0265:C05F2ACXX:5:250021036	15154	0.0067400658	13767	0.908473
M0297:C05F2ACXX:5:250021042	23045	0.010249757	20805	0.9027989
M0357:C05F2ACXX:5:250021076	23568	0.010482373	21436	0.9095383
M0062:C05F2ACXX:5:250021020	16818	0.0074801655	15320	0.9109288
M0311:C05F2ACXX:5:250021044	50889	0.022633972	46350	0.9108059
M0322:C05F2ACXX:5:250021058	27995	0.012451375	25392	0.90701914
M0341:C05F2ACXX:5:250021061	13052	0.005805156	11926	0.91372967
M0063:C05F2ACXX:5:250021011	9227	0.0041039055	8437	0.9143817
M0012:C05F2ACXX:5:250020997	38897	0.017300272	35582	0.9147749
M0028:C05F2ACXX:5:250020991	6237	0.0027740393	5722	0.91742826
M0022:C05F2ACXX:5:250021030	18943	0.008425305	17194	0.9076704
M0043:C05F2ACXX:5:250021004	18878	0.008396395	17154	0.90867674
M0061:C05F2ACXX:5:250021010	15485	0.006887285	14071	0.9086858
M0325:C05F2ACXX:5:250021059	6468	0.0028767814	5896	0.91156465
M0001:C05F2ACXX:5:250020987	5851	0.0026023574	5361	0.9162536
M0023:C05F2ACXX:5:250020990	16644	0.0074027753	15151	0.910298
M0365:C05F2ACXX:5:250021066	11413	0.005076176	10322	0.90440726
M0016:C05F2ACXX:5:250020989	3672	0.0016332006	3355	0.913671
M0369:C05F2ACXX:5:250021067	26706	0.011878065	24138	0.90384185
M0288:C05F2ACXX:5:250021041	32445	0.014430608	29517	0.909755
M0031:C05F2ACXX:5:250021001	41877	0.018625692	38144	0.910858
M0368:C05F2ACXX:5:250021078	24672	0.0109734	22468	0.91066796
M0382:C05F2ACXX:5:250021080	8722	0.0038792961	7941	0.9104563
M0044:C05F2ACXX:5:250021016	6639	0.0029528374	6010	0.9052568
M0276:C05F2ACXX:5:250021039	38552	0.017146828	34760	0.90163934
M0079:C05F2ACXX:5:250021046	16708	0.0074312408	15289	0.91507065
M0015:C05F2ACXX:5:250021028	19375	0.008617446	17583	0.9075097
M0317:C05F2ACXX:5:250021045	12203	0.0054275454	11116	0.91092354
M0035:C05F2ACXX:5:250021014	20676	0.009196093	18901	0.91415167
M0287:C05F2ACXX:5:250021052	9040	0.0040207333	8251	0.9127212
M0298:C05F2ACXX:5:250021054	35505	0.015791608	32265	0.9087452
M0345:C05F2ACXX:5:250021062	23877	0.010619807	21642	0.90639526
M0067:C05F2ACXX:5:250021012	30768	0.013684726	28080	0.9126365
M0354:C05F2ACXX:5:250021075	31049	0.013809707	28441	0.91600376
M0039:C05F2ACXX:5:250021003	23286	0.010356947	21227	0.91157776
M0076:C05F2ACXX:5:250021023	23253	0.010342269	21118	0.9081839
M0262:C05F2ACXX:5:250021035	7541	0.003354021	6865	0.9103567
M0077:C05F2ACXX:5:250021034	17956	0.0079863155	16340	0.91000223
Mo17:C05F2ACXX:5:250020994	1379	6.1333977E-4	1251	0.9071791
M0060:C05F2ACXX:5:250021019	40240	0.0178976	36673	0.91135687
M0058:C05F2ACXX:5:250021009	15202	0.006761415	13878	0.91290617
M0030:C05F2ACXX:5:250020992	13260	0.0058976687	12094	0.91206634
M0378:C05F2ACXX:5:250021079	22952	0.010208393	20850	0.9084176
M0328:C05F2ACXX:5:250021060	5205	0.002315035	4773	0.91700286
M0052:C05F2ACXX:5:250021007	7342	0.0032655117	6698	0.9122855
M0321:C05F2ACXX:5:250021057	37969	0.016887525	34289	0.90307885
M0284:C05F2ACXX:5:250021040	1919	8.5351634E-4	1762	0.91818655
M0074:C05F2ACXX:5:250021022	21080	0.009375781	19136	0.9077799
M0364:C05F2ACXX:5:250021077	46826	0.020826865	42405	0.90558666
M0266:C05F2ACXX:5:250021048	23643	0.01051573	21323	0.9018737
M0054:C05F2ACXX:5:250021033	20473	0.009105805	18603	0.9086602
M0296:C05F2ACXX:5:250021053	20835	0.009266812	18958	0.9099112
M0014:C05F2ACXX:5:250021025	87897	0.03909407	79754	0.90735745
M0048:C05F2ACXX:5:250021006	3313	0.0014735276	3014	0.90974945
